URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
123.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,127.0,19.0,0.7397260223306437,0.14051973037486068,21.0,0.26702833031946954,21.106811332127787,21.0,443.0,1039.0,1609.0,2.0,8.0
321.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,45.0,3.0,0.8749999817708337,0.14159291993630407,25.0,0.2722689075630252,24.900574229691877,25.0,162.0,339.0,545.0,3.0,8.0
2345.0,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,49.0,21.0,0.39999999428571437,0.10852713161468662,16.0,0.19866284622731614,15.476523962020337,16.0,208.0,645.0,692.0,3.0,7.0
4321.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,90.0,22.0,0.6071428517219388,0.1479524436618858,21.0,0.2295492487479132,20.396904445261878,21.0,275.0,757.0,910.0,7.0,7.0
432.0,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,90.0,22.0,0.6071428517219388,0.1479524436618858,21.0,0.2295492487479132,20.396904445261878,21.0,275.0,757.0,910.0,7.0,7.0
2893.8,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,69.0,7.0,0.8157894629501387,0.10674157288378992,18.0,0.24736842105263157,17.91144736842105,18.0,282.0,712.0,953.0,4.0,8.0
3355.6,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,58.0,15.0,0.589041087821355,0.11353032641752671,24.0,0.25556631171345595,23.579499251958108,24.0,264.0,643.0,909.0,1.0,8.0
3817.4,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,108.0,4.0,0.9285714202806123,0.11188811177633555,19.0,0.22906976744186047,18.389500247402275,19.0,394.0,1001.0,1315.0,5.0,7.0
4279.2,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,49.0,3.0,0.8846153676035506,0.19402985002227668,21.0,0.12209302325581395,20.688837209302328,21.0,63.0,268.0,229.0,1.0,7.0
4741.0,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,35.0,36.0,-0.014084506843880186,0.113964686815466,21.0,0.25467059980334317,20.856970280737663,21.0,259.0,623.0,887.0,6.0,8.0
5202.8,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,15.0,9.0,0.24999998958333375,0.10714285666454082,16.0,0.16911764705882354,15.759954751131222,16.0,69.0,224.0,249.0,5.0,7.0
5664.6,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,70.0,15.0,0.6470588159169551,0.11038961024624726,22.0,0.16703786191536749,21.447767525718525,22.0,225.0,770.0,796.0,7.0,7.0
6126.4,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,35.0,2.0,0.8918918677867064,0.11455108323668395,27.0,0.22346368715083798,26.939385474860337,27.0,120.0,323.0,402.0,1.0,7.0
